,asset_id,interval,timestamp,open,high,low,close,volume
305,AMZN,D,2020-07-09,3115.03,3192.93,3076.5,3184.22,175667
306,AMZN,D,2020-07-10,3191.0,3212.19,3137.94,3200.41,153258
307,AMZN,D,2020-07-13,3255.86,3344.0,3069.27,3100.57,166476
308,AMZN,D,2020-07-14,3085.91,3123.29,2950.0,3084.01,138822
309,AMZN,D,2020-07-15,3080.23,3094.08,2975.17,3007.33,112020
310,AMZN,D,2020-07-16,2971.0,3029.33,2919.93,2996.73,157341
311,AMZN,D,2020-07-17,3009.0,3022.64,2950.72,2961.47,119842
312,AMZN,D,2020-07-20,3000.2,3200.98,2995.0,3198.08,196577
313,AMZN,D,2020-07-21,3236.18,3236.21,3108.01,3139.91,113136
314,AMZN,D,2020-07-22,3121.01,3146.88,3069.89,3100.95,90587
315,AMZN,D,2020-07-23,3095.0,3095.0,2972.49,2986.53,124936
316,AMZN,D,2020-07-24,2925.735,3029.09,2891.32,3009.4,116664
317,AMZN,D,2020-07-27,3058.25,3097.97,3017.99,3054.43,68143
318,AMZN,D,2020-07-28,3054.27,3073.97,2996.66,3002.89,61454
319,AMZN,D,2020-07-29,3030.99,3038.0,2997.87,3031.61,60295
320,AMZN,D,2020-07-30,3014.62,3091.0,3005.19,3050.04,111396
321,AMZN,D,2020-07-31,3242.73,3244.38,3151.0,3165.94,178648
322,AMZN,D,2020-08-03,3182.48,3182.48,3104.43,3110.67,65610
323,AMZN,D,2020-08-04,3110.16,3166.33,3102.17,3137.57,92613
324,AMZN,D,2020-08-05,3142.1,3213.34,3129.17,3205.17,84348
325,AMZN,D,2020-08-06,3195.4,3245.83,3166.71,3223.74,90813
326,AMZN,D,2020-08-07,3223.06,3239.97,3142.71,3167.01,75955
327,AMZN,D,2020-08-10,3170.31,3170.31,3103.53,3149.52,49407
328,AMZN,D,2020-08-11,3109.96,3157.73,3074.31,3082.93,66196
329,AMZN,D,2020-08-12,3107.81,3172.9,3107.81,3162.41,51372
330,AMZN,D,2020-08-13,3181.3,3216.85,3155.0,3158.53,60317
331,AMZN,D,2020-08-14,3175.74,3175.74,3120.85,3147.0,50198
332,AMZN,D,2020-08-17,3173.14,3194.43,3155.0,3182.37,41065
333,AMZN,D,2020-08-18,3212.51,3320.0,3207.03,3311.49,100974
334,AMZN,D,2020-08-19,3304.67,3315.0,3257.16,3261.51,81536
335,AMZN,D,2020-08-20,3252.02,3312.62,3240.15,3296.7,72516
336,AMZN,D,2020-08-21,3295.0,3311.6,3277.04,3285.69,74418
337,AMZN,D,2020-08-24,3312.0,3380.0,3264.56,3306.68,85190
338,AMZN,D,2020-08-25,3294.99,3355.78,3268.22,3346.59,73624
339,AMZN,D,2020-08-26,3354.51,3451.08,3345.0,3441.96,168235
340,AMZN,D,2020-08-27,3451.74,3451.74,3384.22,3398.33,96728
341,AMZN,D,2020-08-28,3421.57,3432.31,3388.0,3401.02,87908
342,AMZN,D,2020-08-31,3406.95,3494.0,3405.0,3442.87,81954
343,AMZN,D,2020-09-01,3487.99,3512.9,3467.0,3499.97,63206
344,AMZN,D,2020-09-02,3547.63,3549.0,3487.0,3530.62,84401
345,AMZN,D,2020-09-03,3484.1,3487.29,3303.0,3368.61,137378
346,AMZN,D,2020-09-04,3319.09,3381.5,3112.2,3294.62,171616
347,AMZN,D,2020-09-08,3141.28,3249.8,3131.65,3144.63,96890
348,AMZN,D,2020-09-09,3207.5,3302.28,3186.57,3267.31,81352
349,AMZN,D,2020-09-10,3307.48,3348.5,3171.27,3175.27,104838
350,AMZN,D,2020-09-11,3206.18,3212.6,3084.21,3117.62,93859
351,AMZN,D,2020-09-14,3174.24,3185.69,3096.8,3103.0,104018
